Occupation,Total,16-19,20-24,25-34,35-44,45-54,55-64,65<=,Median age,Year,Major Group,Minor Group,Broad Group,Detailed Occupation
general and operations managers,1005.0,1.0,28.0,227.0,279.0,254.0,184.0,32.0,43.9,2017,11-0000,11-1000,11-1020,-
general and operations managers,1005.0,1.0,28.0,227.0,279.0,254.0,184.0,32.0,43.9,2017,11-0000,11-1000,11-1020,11-1021
general and operations managers,949.0,2.0,34.0,231.0,261.0,245.0,141.0,35.0,43.2,2016,11-0000,11-1000,11-1020,-
general and operations managers,949.0,2.0,34.0,231.0,261.0,245.0,141.0,35.0,43.2,2016,11-0000,11-1000,11-1020,11-1021
general and operations managers,899.0,2.0,27.0,211.0,238.0,247.0,146.0,28.0,43.7,2015,11-0000,11-1000,11-1020,-
general and operations managers,899.0,2.0,27.0,211.0,238.0,247.0,146.0,28.0,43.7,2015,11-0000,11-1000,11-1020,11-1021
general and operations managers,887.0,0.0,25.0,177.0,233.0,260.0,161.0,31.0,45.1,2014,11-0000,11-1000,11-1020,-
general and operations managers,887.0,0.0,25.0,177.0,233.0,260.0,161.0,31.0,45.1,2014,11-0000,11-1000,11-1020,11-1021
general and operations managers,1075.0,0.0,22.0,202.0,283.0,337.0,187.0,44.0,45.6,2013,11-0000,11-1000,11-1020,-
general and operations managers,1075.0,0.0,22.0,202.0,283.0,337.0,187.0,44.0,45.6,2013,11-0000,11-1000,11-1020,11-1021
general and operations managers,1064.0,0.0,30.0,193.0,283.0,326.0,195.0,37.0,45.1,2012,11-0000,11-1000,11-1020,-
general and operations managers,1064.0,0.0,30.0,193.0,283.0,326.0,195.0,37.0,45.1,2012,11-0000,11-1000,11-1020,11-1021
general and operations managers,978.0,1.0,19.0,175.0,253.0,324.0,182.0,25.0,45.4,2011,11-0000,11-1000,11-1020,-
general and operations managers,978.0,1.0,19.0,175.0,253.0,324.0,182.0,25.0,45.4,2011,11-0000,11-1000,11-1020,11-1021
legislators,21.0,0.0,1.0,3.0,3.0,3.0,6.0,6.0,-,2021,11-0000,11-1000,11-1030,-
legislators,21.0,0.0,1.0,3.0,3.0,3.0,6.0,6.0,-,2021,11-0000,11-1000,11-1030,11-1031
legislators,25.0,0.0,2.0,6.0,1.0,3.0,5.0,8.0,-,2020,11-0000,11-1000,11-1030,-
legislators,25.0,0.0,2.0,6.0,1.0,3.0,5.0,8.0,-,2020,11-0000,11-1000,11-1030,11-1031
legislators,19.0,0.0,0.0,3.0,2.0,1.0,5.0,7.0,-,2019,11-0000,11-1000,11-1030,-
legislators,19.0,0.0,0.0,3.0,2.0,1.0,5.0,7.0,-,2019,11-0000,11-1000,11-1030,11-1031
legislators,18.0,0.0,1.0,1.0,3.0,2.0,5.0,7.0,-,2018,11-0000,11-1000,11-1030,-
legislators,18.0,0.0,1.0,1.0,3.0,2.0,5.0,7.0,-,2018,11-0000,11-1000,11-1030,11-1031
legislators,18.0,0.0,1.0,2.0,2.0,4.0,5.0,4.0,-,2017,11-0000,11-1000,11-1030,-
legislators,18.0,0.0,1.0,2.0,2.0,4.0,5.0,4.0,-,2017,11-0000,11-1000,11-1030,11-1031
legislators,20.0,0.0,0.0,2.0,7.0,3.0,2.0,6.0,-,2016,11-0000,11-1000,11-1030,-
legislators,20.0,0.0,0.0,2.0,7.0,3.0,2.0,6.0,-,2016,11-0000,11-1000,11-1030,11-1031
legislators,13.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,-,2015,11-0000,11-1000,11-1030,-
legislators,13.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,-,2015,11-0000,11-1000,11-1030,11-1031
legislators,17.0,0.0,1.0,1.0,5.0,3.0,3.0,5.0,-,2014,11-0000,11-1000,11-1030,-
legislators,17.0,0.0,1.0,1.0,5.0,3.0,3.0,5.0,-,2014,11-0000,11-1000,11-1030,11-1031
legislators,13.0,0.0,1.0,1.0,1.0,5.0,2.0,3.0,-,2013,11-0000,11-1000,11-1030,-
legislators,13.0,0.0,1.0,1.0,1.0,5.0,2.0,3.0,-,2013,11-0000,11-1000,11-1030,11-1031
legislators,11.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,-,2012,11-0000,11-1000,11-1030,-
legislators,11.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,-,2012,11-0000,11-1000,11-1030,11-1031
legislators,16.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,-,2011,11-0000,11-1000,11-1030,-
legislators,16.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,-,2011,11-0000,11-1000,11-1030,11-1031
advertising and promotions managers,72.0,0.0,7.0,34.0,15.0,7.0,5.0,2.0,34.2,2021,11-0000,11-2000,11-2010,-
advertising and promotions managers,72.0,0.0,7.0,34.0,15.0,7.0,5.0,2.0,34.2,2021,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,56.0,1.0,1.0,22.0,19.0,11.0,1.0,1.0,36.6,2020,11-0000,11-2000,11-2010,-
advertising and promotions managers,56.0,1.0,1.0,22.0,19.0,11.0,1.0,1.0,36.6,2020,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,55.0,0.0,9.0,13.0,12.0,10.0,8.0,3.0,40.2,2019,11-0000,11-2000,11-2010,-
advertising and promotions managers,55.0,0.0,9.0,13.0,12.0,10.0,8.0,3.0,40.2,2019,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,44.0,0.0,5.0,13.0,14.0,8.0,2.0,1.0,-,2018,11-0000,11-2000,11-2010,-
advertising and promotions managers,44.0,0.0,5.0,13.0,14.0,8.0,2.0,1.0,-,2018,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,61.0,0.0,3.0,14.0,20.0,12.0,11.0,1.0,43.2,2017,11-0000,11-2000,11-2010,-
advertising and promotions managers,61.0,0.0,3.0,14.0,20.0,12.0,11.0,1.0,43.2,2017,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,67.0,0.0,2.0,27.0,12.0,18.0,2.0,4.0,37.2,2016,11-0000,11-2000,11-2010,-
advertising and promotions managers,67.0,0.0,2.0,27.0,12.0,18.0,2.0,4.0,37.2,2016,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,67.0,0.0,10.0,15.0,16.0,13.0,9.0,4.0,38.9,2015,11-0000,11-2000,11-2010,-
advertising and promotions managers,67.0,0.0,10.0,15.0,16.0,13.0,9.0,4.0,38.9,2015,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,52.0,0.0,4.0,23.0,11.0,8.0,5.0,1.0,35.2,2014,11-0000,11-2000,11-2010,-
advertising and promotions managers,52.0,0.0,4.0,23.0,11.0,8.0,5.0,1.0,35.2,2014,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,51.0,0.0,4.0,17.0,11.0,8.0,9.0,1.0,40.3,2013,11-0000,11-2000,11-2010,-
advertising and promotions managers,51.0,0.0,4.0,17.0,11.0,8.0,9.0,1.0,40.3,2013,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,77.0,0.0,8.0,19.0,23.0,15.0,9.0,3.0,39.7,2012,11-0000,11-2000,11-2010,-
advertising and promotions managers,77.0,0.0,8.0,19.0,23.0,15.0,9.0,3.0,39.7,2012,11-0000,11-2000,11-2010,11-2011
advertising and promotions managers,87.0,0.0,5.0,28.0,23.0,15.0,11.0,3.0,39.2,2011,11-0000,11-2000,11-2010,-
advertising and promotions managers,87.0,0.0,5.0,28.0,23.0,15.0,11.0,3.0,39.2,2011,11-0000,11-2000,11-2010,11-2011
public relations and fundraising managers,100.0,0.0,5.0,16.0,30.0,26.0,18.0,5.0,44.4,2021,11-0000,11-2000,11-2030,-
public relations and fundraising managers,95.0,0.0,4.0,21.0,29.0,20.0,17.0,4.0,43,2020,11-0000,11-2000,11-2030,-
public relations and fundraising managers,73.0,0.0,2.0,19.0,12.0,17.0,19.0,4.0,44.8,2019,11-0000,11-2000,11-2030,-
public relations and fundraising managers,69.0,0.0,1.0,13.0,19.0,21.0,10.0,6.0,45,2018,11-0000,11-2000,11-2030,-
public relations and fundraising managers,73.0,0.0,2.0,23.0,17.0,17.0,12.0,1.0,41.4,2017,11-0000,11-2000,11-2030,-
public relations and fundraising managers,62.0,0.0,2.0,19.0,17.0,16.0,8.0,1.0,42.8,2016,11-0000,11-2000,11-2030,-
public relations and fundraising managers,61.0,0.0,2.0,18.0,15.0,15.0,10.0,1.0,42.6,2015,11-0000,11-2000,11-2030,-
public relations and fundraising managers,71.0,0.0,4.0,21.0,13.0,16.0,17.0,2.0,46,2014,11-0000,11-2000,11-2030,-
public relations and fundraising managers,55.0,0.0,2.0,23.0,9.0,13.0,6.0,1.0,41.1,2013,11-0000,11-2000,11-2030,-
public relations and fundraising managers,58.0,0.0,1.0,19.0,12.0,13.0,11.0,2.0,42.1,2012,11-0000,11-2000,11-2030,-
public relations and fundraising managers,63.0,0.0,1.0,16.0,16.0,20.0,9.0,2.0,42.1,2011,11-0000,11-2000,11-2030,-
computer and information systems managers,715.0,2.0,9.0,113.0,209.0,212.0,149.0,21.0,45.7,2021,11-0000,11-3000,11-3020,-
computer and information systems managers,715.0,2.0,9.0,113.0,209.0,212.0,149.0,21.0,45.7,2021,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,744.0,0.0,7.0,128.0,222.0,226.0,138.0,23.0,45.4,2020,11-0000,11-3000,11-3020,-
computer and information systems managers,744.0,0.0,7.0,128.0,222.0,226.0,138.0,23.0,45.4,2020,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,654.0,1.0,6.0,115.0,197.0,198.0,116.0,23.0,45.3,2019,11-0000,11-3000,11-3020,-
computer and information systems managers,654.0,1.0,6.0,115.0,197.0,198.0,116.0,23.0,45.3,2019,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,623.0,0.0,10.0,96.0,188.0,191.0,122.0,16.0,45.9,2018,11-0000,11-3000,11-3020,-
computer and information systems managers,623.0,0.0,10.0,96.0,188.0,191.0,122.0,16.0,45.9,2018,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,630.0,0.0,13.0,95.0,192.0,192.0,124.0,14.0,45.9,2017,11-0000,11-3000,11-3020,-
computer and information systems managers,630.0,0.0,13.0,95.0,192.0,192.0,124.0,14.0,45.9,2017,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,597.0,1.0,9.0,95.0,178.0,202.0,95.0,18.0,45.5,2016,11-0000,11-3000,11-3020,-
computer and information systems managers,597.0,1.0,9.0,95.0,178.0,202.0,95.0,18.0,45.5,2016,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,652.0,1.0,11.0,104.0,217.0,197.0,102.0,20.0,44.5,2015,11-0000,11-3000,11-3020,-
computer and information systems managers,652.0,1.0,11.0,104.0,217.0,197.0,102.0,20.0,44.5,2015,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,629.0,1.0,5.0,111.0,195.0,195.0,103.0,18.0,44.9,2014,11-0000,11-3000,11-3020,-
computer and information systems managers,629.0,1.0,5.0,111.0,195.0,195.0,103.0,18.0,44.9,2014,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,602.0,0.0,12.0,108.0,199.0,182.0,90.0,12.0,44.3,2013,11-0000,11-3000,11-3020,-
computer and information systems managers,602.0,0.0,12.0,108.0,199.0,182.0,90.0,12.0,44.3,2013,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,605.0,1.0,6.0,106.0,222.0,172.0,89.0,11.0,43.7,2012,11-0000,11-3000,11-3020,-
computer and information systems managers,605.0,1.0,6.0,106.0,222.0,172.0,89.0,11.0,43.7,2012,11-0000,11-3000,11-3020,11-3021
computer and information systems managers,553.0,0.0,10.0,103.0,199.0,162.0,74.0,6.0,43.1,2011,11-0000,11-3000,11-3020,-
computer and information systems managers,553.0,0.0,10.0,103.0,199.0,162.0,74.0,6.0,43.1,2011,11-0000,11-3000,11-3020,11-3021
financial managers,1307.0,2.0,37.0,281.0,347.0,301.0,269.0,70.0,44.8,2021,11-0000,11-3000,11-3030,-
financial managers,1307.0,2.0,37.0,281.0,347.0,301.0,269.0,70.0,44.8,2021,11-0000,11-3000,11-3030,11-3031
financial managers,1309.0,0.0,39.0,272.0,331.0,351.0,250.0,66.0,45.4,2020,11-0000,11-3000,11-3030,-
financial managers,1309.0,0.0,39.0,272.0,331.0,351.0,250.0,66.0,45.4,2020,11-0000,11-3000,11-3030,11-3031
financial managers,1194.0,1.0,30.0,264.0,332.0,299.0,210.0,58.0,44,2019,11-0000,11-3000,11-3030,-
financial managers,1194.0,1.0,30.0,264.0,332.0,299.0,210.0,58.0,44,2019,11-0000,11-3000,11-3030,11-3031
financial managers,1231.0,3.0,34.0,279.0,338.0,298.0,220.0,59.0,44.1,2018,11-0000,11-3000,11-3030,-
financial managers,1231.0,3.0,34.0,279.0,338.0,298.0,220.0,59.0,44.1,2018,11-0000,11-3000,11-3030,11-3031
financial managers,1167.0,1.0,34.0,273.0,302.0,297.0,210.0,51.0,44.1,2017,11-0000,11-3000,11-3030,-
financial managers,1167.0,1.0,34.0,273.0,302.0,297.0,210.0,51.0,44.1,2017,11-0000,11-3000,11-3030,11-3031
financial managers,1197.0,2.0,31.0,251.0,340.0,321.0,196.0,57.0,44.4,2016,11-0000,11-3000,11-3030,-
financial managers,1197.0,2.0,31.0,251.0,340.0,321.0,196.0,57.0,44.4,2016,11-0000,11-3000,11-3030,11-3031
financial managers,1197.0,1.0,31.0,243.0,317.0,347.0,200.0,58.0,45,2015,11-0000,11-3000,11-3030,-
financial managers,1197.0,1.0,31.0,243.0,317.0,347.0,200.0,58.0,45,2015,11-0000,11-3000,11-3030,11-3031
financial managers,1194.0,0.0,41.0,259.0,303.0,330.0,210.0,50.0,44.3,2014,11-0000,11-3000,11-3030,-
financial managers,1194.0,0.0,41.0,259.0,303.0,330.0,210.0,50.0,44.3,2014,11-0000,11-3000,11-3030,11-3031
financial managers,1218.0,4.0,41.0,299.0,296.0,328.0,208.0,41.0,43.8,2013,11-0000,11-3000,11-3030,-
financial managers,1218.0,4.0,41.0,299.0,296.0,328.0,208.0,41.0,43.8,2013,11-0000,11-3000,11-3030,11-3031
financial managers,1228.0,1.0,37.0,287.0,296.0,331.0,220.0,55.0,44.6,2012,11-0000,11-3000,11-3030,-
financial managers,1228.0,1.0,37.0,287.0,296.0,331.0,220.0,55.0,44.6,2012,11-0000,11-3000,11-3030,11-3031
financial managers,1107.0,1.0,43.0,242.0,308.0,300.0,176.0,39.0,43.6,2011,11-0000,11-3000,11-3030,-
financial managers,1107.0,1.0,43.0,242.0,308.0,300.0,176.0,39.0,43.6,2011,11-0000,11-3000,11-3030,11-3031
compensation and benefits managers,16.0,0.0,0.0,4.0,4.0,5.0,3.0,0.0,-,2021,11-0000,11-3000,11-3110,-
compensation and benefits managers,16.0,0.0,0.0,4.0,4.0,5.0,3.0,0.0,-,2021,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,18.0,0.0,0.0,3.0,5.0,6.0,3.0,0.0,-,2020,11-0000,11-3000,11-3110,-
compensation and benefits managers,18.0,0.0,0.0,3.0,5.0,6.0,3.0,0.0,-,2020,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,24.0,0.0,2.0,1.0,6.0,10.0,3.0,2.0,-,2019,11-0000,11-3000,11-3110,-
compensation and benefits managers,24.0,0.0,2.0,1.0,6.0,10.0,3.0,2.0,-,2019,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,23.0,1.0,2.0,2.0,5.0,10.0,2.0,1.0,-,2018,11-0000,11-3000,11-3110,-
compensation and benefits managers,23.0,1.0,2.0,2.0,5.0,10.0,2.0,1.0,-,2018,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,16.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,-,2017,11-0000,11-3000,11-3110,-
compensation and benefits managers,16.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,-,2017,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,20.0,0.0,0.0,5.0,6.0,5.0,4.0,0.0,-,2016,11-0000,11-3000,11-3110,-
compensation and benefits managers,20.0,0.0,0.0,5.0,6.0,5.0,4.0,0.0,-,2016,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,23.0,0.0,0.0,5.0,4.0,8.0,5.0,0.0,-,2015,11-0000,11-3000,11-3110,-
compensation and benefits managers,23.0,0.0,0.0,5.0,4.0,8.0,5.0,0.0,-,2015,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,17.0,0.0,0.0,2.0,2.0,9.0,4.0,0.0,-,2014,11-0000,11-3000,11-3110,-
compensation and benefits managers,17.0,0.0,0.0,2.0,2.0,9.0,4.0,0.0,-,2014,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,12.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,-,2013,11-0000,11-3000,11-3110,-
compensation and benefits managers,12.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,-,2013,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,15.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,-,2012,11-0000,11-3000,11-3110,-
compensation and benefits managers,15.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,-,2012,11-0000,11-3000,11-3110,11-3111
compensation and benefits managers,21.0,0.0,0.0,5.0,4.0,7.0,4.0,0.0,-,2011,11-0000,11-3000,11-3110,-
compensation and benefits managers,21.0,0.0,0.0,5.0,4.0,7.0,4.0,0.0,-,2011,11-0000,11-3000,11-3110,11-3111
human resources managers,273.0,2.0,3.0,45.0,75.0,74.0,58.0,17.0,45.8,2021,11-0000,11-3000,11-3120,-
human resources managers,273.0,2.0,3.0,45.0,75.0,74.0,58.0,17.0,45.8,2021,11-0000,11-3000,11-3120,11-3121
human resources managers,287.0,1.0,2.0,61.0,83.0,74.0,54.0,14.0,45.1,2020,11-0000,11-3000,11-3120,-
human resources managers,287.0,1.0,2.0,61.0,83.0,74.0,54.0,14.0,45.1,2020,11-0000,11-3000,11-3120,11-3121
human resources managers,321.0,1.0,6.0,64.0,99.0,77.0,64.0,11.0,44.3,2019,11-0000,11-3000,11-3120,-
human resources managers,321.0,1.0,6.0,64.0,99.0,77.0,64.0,11.0,44.3,2019,11-0000,11-3000,11-3120,11-3121
human resources managers,313.0,0.0,7.0,64.0,95.0,94.0,43.0,10.0,43.2,2018,11-0000,11-3000,11-3120,-
human resources managers,313.0,0.0,7.0,64.0,95.0,94.0,43.0,10.0,43.2,2018,11-0000,11-3000,11-3120,11-3121
human resources managers,327.0,1.0,5.0,65.0,92.0,96.0,54.0,15.0,44.4,2017,11-0000,11-3000,11-3120,-
human resources managers,327.0,1.0,5.0,65.0,92.0,96.0,54.0,15.0,44.4,2017,11-0000,11-3000,11-3120,11-3121
human resources managers,287.0,0.0,6.0,44.0,97.0,84.0,44.0,11.0,44.6,2016,11-0000,11-3000,11-3120,-
human resources managers,287.0,0.0,6.0,44.0,97.0,84.0,44.0,11.0,44.6,2016,11-0000,11-3000,11-3120,11-3121
human resources managers,290.0,0.0,5.0,49.0,89.0,90.0,47.0,9.0,44.8,2015,11-0000,11-3000,11-3120,-
human resources managers,290.0,0.0,5.0,49.0,89.0,90.0,47.0,9.0,44.8,2015,11-0000,11-3000,11-3120,11-3121
human resources managers,236.0,0.0,5.0,30.0,72.0,80.0,39.0,10.0,45.7,2014,11-0000,11-3000,11-3120,-
human resources managers,236.0,0.0,5.0,30.0,72.0,80.0,39.0,10.0,45.7,2014,11-0000,11-3000,11-3120,11-3121
human resources managers,219.0,0.0,6.0,42.0,66.0,61.0,37.0,7.0,44.3,2013,11-0000,11-3000,11-3120,-
human resources managers,219.0,0.0,6.0,42.0,66.0,61.0,37.0,7.0,44.3,2013,11-0000,11-3000,11-3120,11-3121
human resources managers,224.0,1.0,4.0,40.0,58.0,72.0,43.0,6.0,46,2012,11-0000,11-3000,11-3120,-
human resources managers,224.0,1.0,4.0,40.0,58.0,72.0,43.0,6.0,46,2012,11-0000,11-3000,11-3120,11-3121
human resources managers,243.0,0.0,7.0,39.0,78.0,71.0,44.0,4.0,45.1,2011,11-0000,11-3000,11-3120,-
human resources managers,243.0,0.0,7.0,39.0,78.0,71.0,44.0,4.0,45.1,2011,11-0000,11-3000,11-3120,11-3121
training and development managers,55.0,1.0,1.0,17.0,12.0,12.0,10.0,2.0,43.8,2021,11-0000,11-3000,11-3130,-
training and development managers,55.0,1.0,1.0,17.0,12.0,12.0,10.0,2.0,43.8,2021,11-0000,11-3000,11-3130,11-3131
training and development managers,52.0,0.0,0.0,19.0,19.0,7.0,7.0,1.0,39,2020,11-0000,11-3000,11-3130,-
training and development managers,52.0,0.0,0.0,19.0,19.0,7.0,7.0,1.0,39,2020,11-0000,11-3000,11-3130,11-3131
training and development managers,46.0,2.0,1.0,9.0,17.0,6.0,9.0,2.0,-,2019,11-0000,11-3000,11-3130,-
training and development managers,46.0,2.0,1.0,9.0,17.0,6.0,9.0,2.0,-,2019,11-0000,11-3000,11-3130,11-3131
training and development managers,58.0,0.0,1.0,17.0,13.0,15.0,8.0,3.0,43.3,2018,11-0000,11-3000,11-3130,-
training and development managers,58.0,0.0,1.0,17.0,13.0,15.0,8.0,3.0,43.3,2018,11-0000,11-3000,11-3130,11-3131
training and development managers,63.0,0.0,3.0,10.0,14.0,17.0,17.0,1.0,45.5,2017,11-0000,11-3000,11-3130,-
training and development managers,63.0,0.0,3.0,10.0,14.0,17.0,17.0,1.0,45.5,2017,11-0000,11-3000,11-3130,11-3131
training and development managers,58.0,1.0,2.0,10.0,14.0,18.0,11.0,0.0,45.4,2016,11-0000,11-3000,11-3130,-
training and development managers,58.0,1.0,2.0,10.0,14.0,18.0,11.0,0.0,45.4,2016,11-0000,11-3000,11-3130,11-3131
training and development managers,41.0,0.0,2.0,3.0,15.0,11.0,8.0,2.0,-,2015,11-0000,11-3000,11-3130,-
training and development managers,41.0,0.0,2.0,3.0,15.0,11.0,8.0,2.0,-,2015,11-0000,11-3000,11-3130,11-3131
training and development managers,38.0,0.0,2.0,8.0,14.0,8.0,6.0,0.0,-,2014,11-0000,11-3000,11-3130,-
training and development managers,38.0,0.0,2.0,8.0,14.0,8.0,6.0,0.0,-,2014,11-0000,11-3000,11-3130,11-3131
training and development managers,34.0,0.0,4.0,6.0,10.0,8.0,5.0,1.0,-,2013,11-0000,11-3000,11-3130,-
training and development managers,34.0,0.0,4.0,6.0,10.0,8.0,5.0,1.0,-,2013,11-0000,11-3000,11-3130,11-3131
